# This file contains the statistics of trip_distance data in NYC datasets
# There are total: 147 550 563 values, in which there are 7670 distinct values
# We also count the number of repeatation for each value as follows: 
('5.71', 20573)
('5.72', 20805)
('5.73', 20352)
('5.74', 20587)
('5.75', 20348)
('5.76', 20310)
('5.77', 20230)
('105.20', 1)
('50.79', 3)
('50.78', 4)
('50.77', 2)
('50.76', 2)
('50.75', 4)
('50.74', 1)
('50.73', 6)
('50.72', 2)
('50.71', 3)
('50.70', 24)
('113.20', 1)
('68.21', 1)
('68.20', 2)
('224.90', 2)
('21.59', 994)
('21.58', 1037)
('21.51', 1049)
('21.50', 9154)
('21.53', 1058)
('21.52', 1132)
('21.55', 1089)
('21.54', 1073)
('21.57', 1099)
('21.56', 1051)
('98.00', 2)
('12000003.90', 1)
('178.50', 1)
('14.60', 17187)
('14.61', 1855)
('14.62', 1875)
('14.63', 1845)
('14.64', 2027)
('14.65', 1932)
('14.66', 1848)
('14.67', 1947)
('14.68', 1876)
('14.69', 1867)
('59.72', 1)
('45.31', 3)
('73.32', 1)
('73.33', 1)
('45.34', 6)
('73.36', 1)
('73.39', 1)
('802.90', 1)
('271853.20', 1)
('171.30', 2)
('300.60', 1)
('19.38', 2515)
('19.39', 2597)
('19.34', 2652)
('19.35', 2573)
('19.36', 2516)
('19.37', 2545)
('19.30', 22269)
('19.31', 2562)
('19.32', 2599)
('19.33', 2609)
('10.86', 7688)
('36.18', 17)
('500.70', 1)
('87.08', 1)
('53.69', 2)
('36.17', 17)
('53.68', 1)
('48.65', 1)
('48.64', 3)
('48.67', 4)
('48.66', 2)
('48.61', 2)
('48.60', 21)
('48.63', 1)
('48.62', 2)
('48.69', 3)
('48.68', 1)
('170.70', 2)
('96.37', 1)
('160.60', 1)
('53.67', 1)
('53.66', 2)
('57.88', 3)
('218.38', 1)
('218.30', 1)
('202.00', 5)
('1403240.50', 1)
('50.54', 1)
('54.99', 1)
('85.05', 1)
('85.00', 2)
('150.20', 1)
('54.90', 15)
('71.00', 3)
('54.95', 3)
('54.94', 1)
('54.96', 2)
('162.50', 1)
('83.00', 2)
('503.60', 1)
('22.07', 771)
('22.06', 777)
('22.05', 804)
('22.04', 849)
('22.03', 735)
('22.02', 749)
('22.01', 784)
('22.00', 6549)
('22.09', 708)
('22.08', 745)
('78.59', 1)
('78.58', 1)
('78.50', 2)
('12.80', 27550)
('34.12', 12)
('58.28', 2)
('12.82', 3085)
('12.83', 3221)
('24.09', 176)
('24.08', 180)
('24.05', 163)
('24.04', 160)
('24.07', 175)
('24.06', 178)
('24.01', 198)
('24.00', 1620)
('24.03', 172)
('24.02', 185)
('12.86', 3258)
('34.14', 23)
('25.48', 139)
('58.23', 1)
('44.94', 4)
('44.95', 4)
('44.96', 5)
('44.97', 4)
('44.90', 35)
('44.91', 1)
('44.92', 9)
('44.93', 6)
('44.98', 3)
('44.99', 3)
('72.60', 3)
('32.79', 23)
('32.78', 27)
('72.64', 1)
('32.73', 33)
('32.72', 30)
('32.71', 22)
('32.70', 222)
('32.77', 30)
('32.76', 20)
('32.75', 24)
('32.74', 31)
('57.85', 1)
('16.00', 23335)
('26.09', 116)
('26.08', 105)
('143.50', 1)
('26.03', 115)
('26.02', 116)
('26.01', 124)
('26.00', 1052)
('26.07', 124)
('26.06', 110)
('26.05', 126)
('26.04', 115)
('211.40', 1)
('24.69', 131)
('42.59', 6)
('24.67', 125)
('42.57', 3)
('42.54', 2)
('24.64', 141)
('42.52', 3)
('42.53', 5)
('11.34', 6913)
('11.35', 6672)
('11.36', 6836)
('11.37', 6638)
('11.30', 58366)
('11.31', 6864)
('11.32', 6753)
('11.33', 6920)
('42.51', 10)
('11.38', 6703)
('11.39', 6725)
('6.44', 16024)
('6.45', 15933)
('12.77', 3289)
('6.47', 15747)
('6.40', 142962)
('6.41', 15939)
('6.42', 16002)
('6.43', 15988)
('637.20', 1)
('6.48', 15658)
('6.49', 15492)
('128.33', 1)
('13.72', 2304)
('13.73', 2293)
('13.70', 19796)
('13.71', 2299)
('13.76', 2179)
('13.77', 2271)
('13.74', 2182)
('13.75', 2304)
('35.65', 17)
('35.64', 23)
('13.78', 2174)
('13.79', 2110)
('35.61', 10)
('35.60', 190)
('155.90', 2)
('35.62', 18)
('107.00', 2)
('107.09', 1)
('5.56', 22095)
('5.57', 21940)
('5.54', 22455)
('5.55', 22182)
('5.52', 22641)
('5.53', 22460)
('5.50', 203568)
('5.51', 22404)
('5.58', 22046)
('5.59', 21743)
('9.96', 9219)
('40.55', 5)
('105.05', 1)
('105.07', 1)
('9.94', 9374)
('68.66', 1)
('68.65', 2)
('40.57', 5)
('28.58', 132)
('28.59', 122)
('28.56', 123)
('9.92', 9312)
('28.54', 129)
('28.55', 123)
('28.52', 123)
('28.53', 120)
('28.50', 971)
('28.51', 134)
('40.52', 10)
('40.53', 6)
('21.77', 973)
('21.76', 927)
('21.75', 910)
('21.74', 951)
('21.73', 966)
('21.72', 898)
('21.71', 930)
('21.70', 8149)
('21.79', 924)
('21.78', 903)
('98.20', 3)
('60.85', 1)
('60.84', 4)
